line_name,from_stop_id,to_stop_id,avg_seconds,num_samples
9,U113Z1P,U395Z1P,60,18
9,U395Z1P,U394Z1P,120,19
9,U394Z1P,U865Z1P,60,19
9,U865Z1P,U567Z1P,60,18
9,U567Z1P,U580Z1P,60,18
9,U580Z1P,U289Z1P,120,20
9,U289Z1P,U240Z1P,60,20
9,U240Z1P,U254Z1P,60,18
9,U254Z1P,U805Z1P,60,18
9,U805Z1P,U25Z1P,120,19
9,U25Z1P,U1040Z1P,180,19
9,U1040Z1P,U4Z1P,60,12
9,U4Z1P,U481Z1P,60,13
9,U481Z1P,U809Z2P,60,13
9,U203Z1P,U1072Z1P,180,20
9,U1072Z1P,U484Z1P,60,19
9,U484Z1P,U997Z1P,60,18
9,U997Z1P,U539Z2P,120,12
9,U516Z1P,U339Z1P,120,19
9,U339Z1P,U172Z1P,120,19
9,U172Z1P,U142Z1P,240,19
9,U142Z1P,U203Z1P,60,19
9,U34Z1P,U469Z1P,60,19
9,U469Z1P,U469Z3P,60,19
9,U469Z3P,U586Z1P,60,19
9,U586Z1P,U516Z1P,60,19
9,U180Z1P,U714Z1P,60,19
9,U714Z1P,U837Z1P,60,19
9,U837Z1P,U512Z1P,60,18
9,U512Z1P,U34Z1P,120,18
9,U694Z1P,U266Z1P,60,19
9,U266Z1P,U180Z1P,60,18
9,U714Z2P,U180Z2P,60,19
9,U180Z2P,U266Z2P,60,18
9,U266Z2P,U694Z2P,120,19
9,U34Z2P,U512Z2P,120,19
9,U512Z2P,U837Z2P,60,18
9,U837Z2P,U714Z2P,120,18
9,U516Z2P,U586Z2P,60,19
9,U586Z2P,U469Z4P,60,18
9,U469Z4P,U469Z2P,60,19
9,U469Z2P,U34Z2P,120,18
9,U142Z2P,U172Z2P,120,19
9,U172Z2P,U339Z2P,120,19
9,U339Z2P,U516Z2P,180,18
9,U484Z2P,U1072Z2P,120,19
9,U1072Z2P,U203Z2P,60,19
9,U203Z2P,U142Z2P,120,19
9,U483Z1P,U539Z1P,120,13
9,U539Z1P,U997Z2P,60,12
9,U997Z2P,U484Z2P,60,18
9,U809Z2P,U483Z1P,180,12
9,U1040Z1P,U901Z1P,60,6
9,U901Z1P,U208Z1P,180,7
9,U208Z1P,U401Z1P,120,6
9,U401Z1P,U997Z2P,60,6
9,U997Z1P,U401Z2P,60,6
9,U401Z2P,U208Z2P,120,6
9,U208Z2P,U901Z2P,180,7
9,U901Z2P,U1040Z2P,120,6
10,U676Z1P,U675Z1P,120,7
10,U249Z1P,U514Z1P,120,6
10,U514Z1P,U870Z1P,120,6
10,U870Z1P,U54Z1P,60,6
10,U54Z1P,U861Z1P,60,6
10,U861Z1P,U779Z1P,60,6
10,U779Z1P,U471Z1P,60,6
10,U471Z1P,U272Z1P,60,7
10,U272Z1P,U529Z1P,120,7
10,U529Z1P,U1074Z2P,120,6
10,U1074Z2P,U34Z1P,180,6
10,U34Z1P,U469Z1P,60,6
10,U469Z1P,U373Z1P,60,6
10,U373Z1P,U921Z3P,120,7
10,U921Z3P,U515Z1P,120,6
10,U515Z1P,U118Z1P,60,6
10,U118Z1P,U518Z1P,120,6
10,U518Z1P,U540Z1P,60,6
10,U540Z1P,U851Z1P,60,6
10,U851Z1P,U744Z1P,120,7
10,U744Z1P,U476Z1P,120,7
10,U476Z1P,U190Z1P,120,6
10,U190Z1P,U739Z1P,180,6
10,U237Z3P,U237Z4P,120,6
