service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1111000_TR16,1,1,1,1,0,0,0,20251215,20261210
1111111_TR115,1,1,1,1,1,1,1,20251214,20261212
1111111_TR116,1,1,1,1,1,1,1,20251214,20261212
1111111_TR117,1,1,1,1,1,1,1,20260701,20261019
1101111_TR4,1,1,0,1,1,1,1,20251214,20261212
1101111_TR5,1,1,0,1,1,1,1,20251214,20261212
1101100_TR8,1,1,0,1,1,0,0,20251215,20261211
0000011_TR101,0,0,0,0,0,1,1,20260501,20261212
0000010_TR56,0,0,0,0,0,1,0,20260620,20261212
0000001_TR63,0,0,0,0,0,0,1,20260614,20261206
0000001_TR64,0,0,0,0,0,0,1,20260614,20261206
0000100_TR19,0,0,0,0,1,0,0,20260619,20261211
1111000_TR17,1,1,1,1,0,0,0,20260615,20261210
1111101_TR28,1,1,1,1,1,0,1,20260614,20261211
0000010_TR57,0,0,0,0,0,1,0,20260620,20261212
0000001_TR65,0,0,0,0,0,0,1,20260614,20261206
0000010_TR58,0,0,0,0,0,1,0,20260620,20261212
0000011_TR102,0,0,0,0,0,1,1,20260501,20261011
0000011_TR103,0,0,0,0,0,1,1,20251214,20261212
1111111_TR118,1,1,1,1,1,1,1,20251215,20261211
1111101_TR29,1,1,1,1,1,0,1,20251214,20261211
1111111_TR119,1,1,1,1,1,1,1,20251215,20261211
0000011_TR104,0,0,0,0,0,1,1,20251214,20261212
0000001_TR66,0,0,0,0,0,0,1,20251214,20261206
0000010_TR59,0,0,0,0,0,1,0,20260801,20260801
0000011_TR105,0,0,0,0,0,1,1,20260425,20260928
0000010_TR60,0,0,0,0,0,1,0,20260425,20260927
1111111_TR120,1,1,1,1,1,1,1,20251214,20261212
0000010_TR61,0,0,0,0,0,1,0,20260704,20260829
0000111_TR4,0,0,0,0,1,1,1,20251219,20261211
